id,stepindex,recipe_id,stepamount,steptitle
760,5,513,{null},Stir
761,3,710,1/2 oz,Lime Juice
763,1,756,Fill 1/2,Ice
764,1,761,2 oz ,Vodka
765,2,731,1/2 oz,Triple Sec
766,2,451,1/2 oz,Gin
768,1,422,2 oz,Jack Daniel's Downhome Punch
770,5,40,{null},Strain into glass
771,8,605,{null},Strain into glass
772,5,658,1 oz,Pineapple Juice
773,3,715,1 oz,Cherry Liqueur
774,4,762,1 1/2 oz,Pineapple Juice
775,4,692,{null},Recommended Raspberry Liqueur: Chambord
776,1,760,2 scoops,Ice Cream (vanilla)
777,5,678,{null},Shake
778,1,759,Fill 1/2,Ice
780,3,702,1/4 oz,Schnapps (apple)
781,12,522,{null},Recommended Strawberry Liqueur: Greizer
782,7,510,Fill glass,Ice
783,9,572,{null},Garnish with a lemon slice
784,4,816,1 oz,Lime Juice
785,2,687,1/2 piece,Bananas
787,0,784,1 oz,Midori
788,2,744,9 oz,Lemonade
789,2,740,2 oz,Triple Sec
790,4,763,1 dash,Peppers
791,3,474,1 tsp,Cointreau
792,4,766,1/2 oz,Vermouth (dry)
793,5,514,{null},Stir
794,0,683,1/2 oz,Absinthe
795,3,707,{null},Rum (white)1/2 oz
796,2,742,1/2 oz,Absinthe
797,5,676,Garnish,Orange Peel
798,8,653,1 oz,Half-and-Half
799,1,762,1 oz,Banana Liqueur
800,3,471,1/4 oz,Lime Juice
801,3,716,1 splash,Ginger Ale
802,0,788,1 oz,Vodka
803,0,783,2 oz,Scotch
804,8,503,{null},Garnish with a lime twist
805,6,649,{null},Shake for 30 seconds
806,3,727,{null},Recommended Whiskey: Southern Comfort
807,3,717,1 oz,Rum (coconut)
808,2,737,12 leaves,Mint
809,2,748,1 oz,Vodka (apple)
810,5,675,3 oz,Club Soda
811,4,698,{null},Stir
812,1,816,Fill 1/2,Ice
813,3,604,Garnish,Whipped Cream
814,1,763,1 1/2 oz,Vodka
815,6,666,{null},Strain into glass
816,1,766,Fill 1/2,Ice
817,7,548,{null},Garnish with a lemon twist
818,0,301,{null},Tools: Blender
819,0,401,{null},Tools: Shaker
821,2,746,{null},Add Bacon and Grease to Pitcher
823,9,606,Garnish,Lemons
824,6,543,1/4 oz,Lemon Juice
825,3,725,1 tsp,Vermouth (dry)
826,2,454,1 oz,Gin
827,6,546,{null},Pour into glass
828,2,749,1 1/2 oz,Whiskey
829,0,792,2 oz,Champagne
830,9,591,Fill,Club Soda
831,1,769,1 oz,Schnapps (peach)
832,4,590,{null},Recommended Tequila: Cuervo Gold
834,5,631,{null},Stir
835,2,460,1/2 oz,Vodka
836,4,774,4 oz,Apple Cider
837,3,269,1/2 oz,Triple Sec
838,0,670,{null},Tools: Blender
839,0,408,{null},Tools: Shaker
841,2,636,6 oz,Club Soda
842,8,485,4 oz,Pineapple Juice
843,2,639,{null},Heat Milk
844,0,365,Fill 1/2,Ice
845,0,796,3 oz,Apple Cider
847,6,644,2 oz,Pineapple Juice
848,4,771,2 tsp,Lime Juice
849,7,679,{null},Strain into ice-filled glass
850,1,439,1/2 oz,Wine (white)
851,3,722,1 1/4 oz,Lemon Juice
852,0,492,Fill 1/2,Ice
853,4,712,{null},Recommended Brandy: Pisco
854,1,502,Fill 2/3,Ice
856,4,772,1 tsp,Grenadine
857,2,627,1 1/2 oz ,Brandy
859,6,678,{null},Strain into glass
860,6,673,{null},Shake
862,4,663,1/8 oz,Olive Juice
863,13,581,{null},Strain into glass
864,8,509,{null},Recommended: Unsweetened Pineapple Juice
865,3,726,1 oz,Cherry Liqueur
866,1,437,Fill 3/4,Ice
867,1,774,Fill 3/4,Ice
868,0,612,Fill,Ice
873,0,831,Fill,Ice
875,8,616,{null},Strain into glass
876,6,499,{null},Shake
877,8,617,1 twist,Lemon Peel
878,3,720,3/4 oz,Brandy (cherry)
879,1,662,1 1/2 oz,Whiskey
881,0,797,3 cubes,Ice
882,3,723,1 oz,Grand Marnier
883,3,729,3/4 oz,Brandy
884,3,732,Garnish,Limes
885,2,753,Fill 1/2,Cranberry Juice
886,1,771,2 tsp,Brandy (peach)
889,9,581,1 oz,Cranberry Juice
890,4,439,Garnish,Orange Peel
891,2,505,1/2 oz,Galliano
892,1,772,1 1/2 oz,Brandy
895,2,751,1 oz,Whiskey
896,3,730,1/2 oz,Vermouth (sweet)
897,1,663,Fill,Ice
898,1,443,3 1/2 oz,Banana Liqueur
899,4,702,{null},Shake
900,2,641,1 oz,Gin
901,8,510,{null},Stir until frosted
902,4,437,1/2 oz,Lemon Juice
903,5,689,1/2 oz,Brandy (apricot)
905,2,761,Fill,Orange Juice
906,4,773,1 tsp,Grenadine
908,4,779,1/2 oz,Sherry (dry)
909,1,451,1/2 oz,Vodka
910,2,756,24 oz,Wine (white)
911,6,658,2 dashes,Bitters
912,3,731,1 oz,Sweet-and-Sour
913,3,742,{null},Layer ingredients
914,7,565,{null},Strain into glass
915,1,783,{null},Swirl glass to release aromas
916,0,834,{null},Tools: Shaker
917,7,642,Fill,Club Soda
918,8,586,{null},Stir
919,0,804,1/2 oz,Schnapps (pear)
920,4,716,{null},Garnish with a lemon twist and a slice of cucumber
921,6,675,{null},Shake well
922,2,759,1 oz,Chocolate Mint Liqueur
923,2,760,8 oz,Milk
925,0,786,{null},Tools: Shaker
927,4,443,1/3 oz,Lemon Juice
928,0,388,{null},Tools: Shaker
929,7,649,{null},Strain into chilled glass
930,1,778,1 1/2 oz,Scotch
